date,id,name,category,收盤價,漲跌幅,月增率%,年增率%,累計年增率%,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,投信5賣N天,投信10賣N天,投信20賣N天,20漲跌幅,60漲跌幅
2025-10-02,1442,名軒,建材營造,39.5,-2.11,,,,8.64,0.0,0.0,0.0,-0.02,-0.01,0.0,0.0,1.0,10.04,-220.0,-0.06,-0.57,-1.18,-1.77,0.0,0.0,,0.0,0.12,-71.0,-0.02,-0.14,-0.29,-0.51,0.0,1.0,2.0,-30.46,-46.55
2025-10-02,2493,揚博,電子零組件業,105.5,-1.86,,,,0.04,-0.1,-119.0,-0.19,-0.19,-0.2,0.0,0.0,2.0,3.0,275.0,0.24,0.11,-1.59,-2.78,3.0,5.0,,0.0,0.18,68.0,0.06,-0.78,-1.92,-3.53,2.0,2.0,3.0,-21.56,-38.66
2025-10-02,2520,冠德,建材營造,35.3,-1.81,,,,8.86,-0.01,-33.0,-0.02,-0.02,0.22,0.0,1.0,3.0,9.84,-1511.0,-0.27,-0.96,-2.09,-3.48,0.0,0.0,,-0.01,0.43,-830.0,-0.15,-0.38,-1.18,-1.61,3.0,6.0,13.0,-12.19,-34.14
2025-10-02,6605,帝寶,汽車工業,127.0,0.0,,,,3.08,0.0,0.0,0.0,0.0,-0.09,1.0,3.0,4.0,15.82,12.0,0.01,-0.28,-0.3,-0.29,2.0,4.0,,0.0,0.42,31.0,0.02,-0.23,-0.24,-0.41,3.0,6.0,11.0,-10.56,-31.35
2025-10-02,6415,矽力*-KY,半導體業,244.0,-1.81,,,,1.02,-0.11,-417.0,-0.33,-0.33,-0.34,1.0,1.0,2.0,83.32,354.0,0.09,-0.12,-0.7,-1.39,2.0,3.0,,0.0,0.29,-252.0,-0.07,-0.46,-1.08,-1.74,4.0,8.0,17.0,-17.98,-30.58
2025-10-02,2404,漢唐,其他電子業,890.0,-2.52,,,,19.19,-0.07,-142.0,-0.31,-1.18,-2.17,2.0,3.0,5.0,35.43,-645.0,-0.34,-0.18,0.51,1.6,2.0,5.0,,0.03,5.59,-621.0,-0.33,-0.47,-0.78,-1.0,3.0,7.0,15.0,-17.59,-27.64
2025-10-02,6206,飛捷,電腦及週邊設備業,103.0,-1.9,,,,4.4,-0.03,-40.0,-0.1,-0.33,-0.65,1.0,1.0,2.0,8.37,21.0,0.01,-0.07,-0.06,-0.13,3.0,6.0,,-0.0,0.79,-63.0,-0.04,-0.04,-0.21,-0.7,2.0,6.0,13.0,-10.43,-26.69
2025-10-02,4763,材料-KY,化學工業,62.0,-0.32,,,,106.59,-0.01,-8.0,0.18,-0.17,-1.37,3.0,4.0,5.0,554.68,-306.0,-0.35,-2.58,-9.11,-13.61,1.0,3.0,,0.02,0.09,-218.0,-0.25,-4.07,-10.63,-17.19,2.0,6.0,15.0,-14.13,-26.54
2025-10-02,5269,祥碩,半導體業,1475.0,0.34,,,,0.69,-0.07,-47.0,-0.07,-0.5,-1.24,2.0,2.0,3.0,17.18,-149.0,-0.21,-1.19,-1.56,-2.31,0.0,2.0,,0.0,1.31,-8.0,-0.01,-0.2,-0.89,-1.81,2.0,7.0,15.0,-12.2,-26.25
2025-10-02,2377,微星,電腦及週邊設備業,112.5,-0.88,,,,10.62,-0.03,-285.0,-0.17,-0.33,-0.27,0.0,0.0,3.0,21.03,-999.0,-0.12,-0.99,-1.38,-2.81,0.0,0.0,,0.0,10.66,-1350.0,-0.16,-1.03,-1.9,-3.34,5.0,9.0,14.0,-13.13,-26.23
2025-10-02,2233,宇隆,汽車工業,199.0,-1.97,,,,1.32,-0.0,-1.0,-0.26,-0.26,-0.36,0.0,0.0,2.0,7.37,-71.0,-0.12,0.31,-0.77,-1.9,3.0,4.0,,-0.01,0.48,-133.0,-0.22,-1.24,-1.69,-3.95,2.0,4.0,9.0,-15.5,-25.61
2025-10-02,6213,聯茂,電子零組件業,102.5,-1.44,,,,0.37,-0.01,-47.0,-0.04,-0.04,-0.96,1.0,1.0,3.0,16.06,311.0,0.09,-0.51,-1.91,0.26,3.0,4.0,,-0.0,0.91,-344.0,-0.09,-0.67,-1.77,-3.59,2.0,2.0,7.0,-15.98,-25.18
